Région;CR;avant;fin22;Evo vers P5P6;IPM 2014;IPM 2024;TP 2014;TP 2024
Béni Mellal-Khénifra;119;33;53;59;0.1121;0.0610;26.255;15.162
Drâa-Tafilalet;109;30;76;77;0.0973;0.0450;25.71;11.55
Fès-Meknès;161;47;70;69;0.1092;0.0450;25.71;11.55
Grand Casablanca-Settat;124;31;54;57;0.0739;0.0417;24.50;14.90
Guelmim-Oued Noun;45;9;16;27;0.1193;0.0502;26.50;11.70
Marrakech-Safi;149;26;45;45;0.0772;0.0393;24.00;12.50
Oriental;96;20;47;63;0.0984;0.0527;24.80;14.20
Rabat-Salé-Kénitra;151;32;55;52;0.1360;0.0730;25.00;14.10
Souss-Massa;154;22;34;69;0.0741;0.0407;25.50;14.00
Tanger-Tétouan-Al Hoceima;148;24;43;79;0.0870;0.0450;25.00;13.00
Total général;1256;314;604;677;;;;
